City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,wynyard,-41.0,145.7167,21.04,60,55,2.84,AU,1707790868
320,hamilton,39.1834,-84.5333,7.22,63,0,4.12,US,1707790796
321,saint john's,47.5649,-52.7093,0.93,93,75,5.66,CA,1707790844
322,porto murtinho,-21.6989,-57.8825,26.73,76,57,4.08,BR,1707790868
323,coari,-4.085,-63.1414,24.1,96,100,1.55,BR,1707790868
324,kattivakkam,13.2167,80.3167,25.06,66,45,2.45,IN,1707790868
325,black point,-34.6187,137.8972,25.58,48,7,7.52,AU,1707790869
326,vikulovo,56.8167,70.6107,-18.57,98,100,3.15,RU,1707790869
327,humberto de campos,-2.5983,-43.4611,24.93,91,97,2.04,BR,1707790757
328,rundu,-17.9333,19.7667,20.75,69,54,0.91,NA,1707790869
329,sidareja,-7.4846,108.7923,29.45,75,16,0.2,ID,1707790869
330,usinsk,65.9939,57.5281,-29.4,98,8,1.79,RU,1707790869
331,kosh-agach,50.0,88.6667,-29.27,82,29,0.45,RU,1707790869
332,chonchi,-42.6128,-73.8092,11.84,76,60,1.23,CL,1707790869
333,port lincoln,-34.7333,135.8667,21.28,65,5,8.3,AU,1707790772
334,ziro,27.6333,93.8333,4.41,65,100,0.88,IN,1707790869
335,ad dabbah,18.05,30.95,19.01,15,0,3.44,SD,1707790869
336,barah,13.7,30.3667,20.24,14,12,4.22,SD,1707790869
337,plesetsk,62.708,40.2916,-23.53,100,86,2.0,RU,1707790869
338,carnarvon,-24.8667,113.6333,31.54,48,0,5.59,AU,1707790869
339,jiazi,22.8779,116.067,18.33,63,74,3.33,CN,1707790870
340,puerto deseado,-47.7503,-65.8938,11.65,59,25,4.48,AR,1707790870
341,bikenibeu village,1.3673,173.1241,30.98,79,75,2.57,KI,1707790870
342,covington,39.0837,-84.5086,7.49,63,0,4.12,US,1707790870
343,vernon,50.2581,-119.2691,1.24,91,22,1.03,CA,1707790694
344,tual,-5.6667,132.75,28.32,80,100,5.36,ID,1707790870
345,karlshamn,56.1706,14.8619,0.51,97,100,3.84,SE,1707790870
346,ko pha ngan,9.7578,100.0291,26.38,67,3,4.94,TH,1707790870
347,talcahuano,-36.7167,-73.1167,15.82,72,0,3.09,CL,1707790870
348,geraldton,-28.7667,114.6,30.23,32,0,6.69,AU,1707790870
349,muisne,0.6,-80.0333,25.96,91,100,2.6,EC,1707790870
350,lensk,60.7253,114.9278,-26.87,90,100,1.8,RU,1707790870
351,kayangel,8.0823,134.7173,27.19,79,41,10.94,PW,1707790870
352,puerto aysen,-45.4,-72.7,12.01,76,100,1.18,CL,1707790870
353,la passe,45.5549,-0.8967,6.1,92,100,3.31,FR,1707790870
354,gizo,-8.103,156.8419,28.91,73,13,5.95,SB,1707790870
355,kapa'a,22.0752,-159.319,26.18,65,0,5.14,US,1707790871
356,la sarre,48.8002,-79.1996,-11.12,95,100,2.18,CA,1707790826
357,kottapalli,18.4833,79.1,18.86,79,46,3.95,IN,1707790871
358,malango,-2.9627,119.9001,23.58,95,100,0.82,ID,1707790871
359,verkhniy rohachyk,47.2505,34.338,8.13,79,100,3.85,UA,1707790871
360,freeport,40.6576,-73.5832,6.25,70,75,3.6,US,1707790871
